no of cores,r1,r2,r3,r_avg
1,0.078839,0.09651,0.090473,0.08860733333333333
2,0.046395,0.04357,0.04972,0.04656166666666667
3,0.032106,0.032186,0.036668,0.033653333333333334
4,0.024849,0.034458,0.023985,0.027764
5,0.021901,0.028428,0.024852,0.025060333333333334
6,0.019336,0.021205,0.021792,0.020777666666666667
7,0.017609,0.018263,0.030967,0.02227966666666667
8,0.025231,0.027301,0.023396,0.025309333333333333
9,0.020713,0.017197,0.017841,0.018583666666666665
10,0.020226,0.021739,0.021182,0.021049000000000002
11,0.019515,0.018309,0.018766,0.018863333333333333
12,0.01594,0.017696,0.016344,0.016659999999999998
13,0.01457,0.015184,0.014594,0.014782666666666666
14,0.011852,0.020546,0.021596,0.017998
15,0.016302,0.013767,0.012448,0.014172333333333334
16,0.01446,0.026513,0.013994,0.018322333333333333
17,0.02825,0.025519,0.01354,0.022436333333333332
18,0.010736,0.010293,0.014829,0.011952666666666667
19,0.01263,0.018702,0.016142,0.015824666666666667
20,0.013565,0.015165,0.012559,0.013763
21,0.015229,0.012481,0.017751,0.015153666666666668
22,0.018891,0.011308,0.015513,0.015237333333333334
23,0.014079,0.012289,0.012603,0.012990333333333333
24,0.013962,0.0151,0.013473,0.014178333333333334
25,0.013508,0.014005,0.01308,0.013531
26,0.010759,0.01278,0.013287,0.012275333333333333
27,0.011706,0.013171,0.012643,0.012506666666666666
28,0.012069,0.011045,0.012538,0.011884
29,0.011756,0.012119,0.011319,0.011731333333333335
30,0.055363,0.010039,0.011812,0.025738
31,0.022317,0.011158,0.012994,0.015489666666666665
32,0.06559,0.009239,0.027118,0.03398233333333333
33,0.010076,0.009542,0.023458,0.014358666666666667
34,0.014495,0.022344,0.018318,0.018385666666666665
35,0.029706,0.068883,0.01678,0.038456333333333335
36,0.010203,0.026604,0.009789,0.015531999999999999
37,0.029387,0.023632,0.009493,0.020837333333333333
38,0.046557,0.018962,0.01613,0.027216333333333332
39,0.016122,0.031788,0.023694,0.023868
40,0.057441,0.009492,0.009794,0.025575666666666663
41,0.009496,0.010851,0.04485,0.021732333333333336
42,0.051457,0.00822,0.05648,0.038719
43,0.017014,0.022133,0.024094,0.021080333333333336
44,0.009608,0.00869,0.051696,0.023331333333333332
45,0.035708,0.036592,0.01861,0.030303333333333335
46,0.05124,0.02652,0.066005,0.04792166666666666
47,0.007906,0.051204,0.04015,0.03308666666666666
48,0.021227,0.057805,0.009147,0.029393000000000002
49,0.011248,0.01042,0.023394,0.015020666666666668
50,0.018637,0.029388,0.049684,0.03256966666666666
51,0.010119,0.0145,0.043488,0.022702333333333335
52,0.030242,0.010854,0.015802,0.018966
53,0.033766,0.017148,0.023927,0.024947
54,0.012596,0.031997,0.035652,0.026748333333333332
55,0.031807,0.031663,0.055376,0.039615333333333336
56,0.024504,0.037335,0.008219,0.02335266666666667
